Player,Rush Yds,Att,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM
Christian McCaffrey,1459,272,14,9,3,72,83,30.5,2
Kyren Williams,1144,228,12,7,1,56,62,27.2,2
James Cook,1086,224,2,6,1,42,51,22.8,3
D'Andre Swift,1049,229,5,6,1,43,50,21.8,2
Derrick Henry,1014,261,11,4,1,63,57,21.8,0
Raheem Mostert,1012,209,18,7,2,49,59,28.2,2
David Montgomery,975,209,12,4,2,75,56,26.8,2
Travis Etienne,951,251,11,6,1,62,49,19.5,0
Bijan Robinson,948,203,4,7,0,38,48,23.6,4
Isiah Pacheco,935,205,7,6,1,48,53,25.8,1
Tony Pollard,935,235,5,6,0,31,52,22.1,1
Najee Harris,923,229,7,8,0,25,44,19.2,2
Joe Mixon,923,243,8,2,0,22,53,21.8,0
Saquon Barkley,916,229,4,7,0,36,45,19.6,2
Jahmyr Gibbs,915,169,9,10,0,36,40,23.7,2
Rachaad White,915,253,6,3,0,38,42,16.6,2
James Conner,890,181,6,8,1,44,48,26.5,0
Devin Singletary,835,192,3,3,0,24,37,19.3,1
Kenneth Walker III,827,202,8,7,1,45,41,20.3,1
Lamar Jackson,821,148,5,4,0,30,48,32.4,4
Chuba Hubbard,819,215,5,4,0,22,53,24.6,0
Breece Hall,816,186,4,6,3,83,32,17.2,2
Jerome Ford,807,201,4,5,2,69,33,16.4,1
Josh Jacobs,805,233,6,3,2,63,34,14.6,2
Zack Moss,764,177,5,6,2,56,41,23.2,0
